Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Price/Unit,Quantity
CA-2015-153325,01/03/2015,Second Class,ST-20530,Shui Tom,Consumer,United States,Macon,Georgia,31204,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",58.72,1
CA-2015-102316,01/03/2015,Second Class,DH-13075,Dave Hallsten,Corporate,United States,Los Angeles,California,90045,West,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,15.984,3
CA-2015-102316,01/03/2015,Second Class,DH-13075,Dave Hallsten,Corporate,United States,Los Angeles,California,90045,West,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,184.752,1
CA-2015-133494,01/03/2015,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,4
CA-2015-133585,01/03/2015,First Class,CM-12715,Craig Molinari,Corporate,United States,Houston,Texas,77070,Central,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,55.328,3
CA-2015-133585,01/03/2015,First Class,CM-12715,Craig Molinari,Corporate,United States,Houston,Texas,77070,Central,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1227.9984,1
CA-2015-104052,01/03/2015,First Class,TP-21565,Tracy Poddar,Corporate,United States,Coppell,Texas,75019,Central,TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,95.84,1
CA-2015-145821,01/05/2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,90008,West,TEC-PH-10004348,Technology,Phones,OtterBox Defender Series Case - iPhone 5c,88.752,4
CA-2015-161998,01/05/2015,Standard Class,DB-13120,David Bremer,Corporate,United States,Tampa,Florida,33614,South,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,2
CA-2015-161998,01/05/2015,Standard Class,DB-13120,David Bremer,Corporate,United States,Tampa,Florida,33614,South,OFF-SU-10004261,Office Supplies,Supplies,"Fiskars 8"" Scissors, 2/Pack",41.376,4
CA-2015-161998,01/05/2015,Standard Class,DB-13120,David Bremer,Corporate,United States,Tampa,Florida,33614,South,OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,172.704,4
CA-2015-104486,01/05/2015,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.176,1
CA-2015-104486,01/05/2015,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,37.32,4
CA-2015-104486,01/05/2015,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,California,94109,West,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,1
US-2015-163685,01/06/2015,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,San Antonio,Texas,78207,Central,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,5.728,2
US-2015-163685,01/06/2015,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,San Antonio,Texas,78207,Central,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,42.24,4
US-2015-132836,01/06/2015,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,299.98,2
US-2015-132836,01/06/2015,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,403.68,4
US-2015-132836,01/06/2015,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",41.9,2
US-2015-132836,01/06/2015,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,OFF-LA-10004178,Office Supplies,Labels,Avery 491,28.91,3
CA-2015-161242,01/06/2015,Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Los Angeles,California,90045,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,1
CA-2015-153388,01/08/2015,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Los Angeles,California,90004,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,2
CA-2015-153388,01/08/2015,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Los Angeles,California,90004,West,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1004.976,1
CA-2015-137946,01/09/2015,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,4.752,1
CA-2015-137946,01/09/2015,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2
CA-2015-137946,01/09/2015,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045,West,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,14.368,2
CA-2015-104626,01/09/2015,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,114.6,4
CA-2015-104626,01/09/2015,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",60.74,1
CA-2015-104626,01/09/2015,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,124.36,2
CA-2015-104626,01/09/2015,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,1088.76,3
CA-2015-166135,01/10/2015,Standard Class,SC-20440,Shaun Chance,Corporate,United States,Aurora,Colorado,80013,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",139.424,1
CA-2015-115392,01/10/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Cambridge,Massachusetts,2138,East,TEC-PH-10002496,Technology,Phones,Cisco SPA301,311.98,4
CA-2015-115392,01/10/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Cambridge,Massachusetts,2138,East,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,22.45,2
CA-2015-148873,01/10/2015,Standard Class,EM-13960,Eric Murdock,Consumer,United States,Quincy,Illinois,62301,Central,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,2.992,2
CA-2015-148873,01/10/2015,Standard Class,EM-13960,Eric Murdock,Consumer,United States,Quincy,Illinois,62301,Central,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,108.768,1
CA-2015-156566,01/10/2015,First Class,EM-13960,Eric Murdock,Consumer,United States,Portland,Oregon,97206,West,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,572.8,2
CA-2015-105221,01/11/2015,First Class,VM-21685,Valerie Mitchum,Home Office,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,35.36,4
CA-2015-105221,01/11/2015,First Class,VM-21685,Valerie Mitchum,Home Office,United States,Philadelphia,Pennsylvania,19140,East,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.168,2
CA-2015-130995,01/11/2015,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,New York City,New York,10009,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.95,3
CA-2015-113145,01/11/2015,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,13.52,3
CA-2015-113145,01/11/2015,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",259.7,4
CA-2015-113145,01/11/2015,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,TEC-PH-10001527,Technology,Phones,Plantronics MX500i Earset,42.95,2
CA-2015-113145,01/11/2015,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,1
CA-2015-113145,01/11/2015,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,503.96,1
US-2015-110163,01/11/2015,First Class,GA-14725,Guy Armstrong,Consumer,United States,Salem,Oregon,97301,West,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,7.88,1
CA-2015-108119,01/11/2015,Standard Class,MS-17530,MaryBeth Skach,Consumer,United States,Conway,Arkansas,72032,South,FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",301.96,1
CA-2015-126739,01/11/2015,Second Class,JH-16180,Justin Hirsh,Consumer,United States,New York City,New York,10035,East,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,327.564,2
CA-2015-141740,01/11/2015,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,New York City,New York,10009,East,FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,205.164,1
CA-2015-119907,01/12/2015,Standard Class,LC-17140,Logan Currie,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,55.424,3
US-2015-105676,01/12/2015,Same Day,NM-18520,Neoma Murray,Consumer,United States,Houston,Texas,77036,Central,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",6.688,4
CA-2015-103723,01/12/2015,Standard Class,BT-11305,Beth Thompson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,13.9,4
US-2015-148817,01/12/2015,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",61.68,1
US-2015-148817,01/12/2015,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",63.96,4
CA-2015-137113,01/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,2003.92,2
CA-2015-137113,01/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,OFF-PA-10004255,Office Supplies,Paper,Xerox 219,32.4,4
CA-2015-137113,01/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,1913.4,3
CA-2015-137113,01/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,146.73,4
CA-2015-137113,01/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,OFF-PA-10002222,Office Supplies,Paper,"Xerox Color Copier Paper, 11"" x 17"", Ream",114.2,4
CA-2015-111038,01/12/2015,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,San Diego,California,92037,West,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,2676.672,3
